MUNI,SchoolName,Subject,Exceeds,Meets,Partial,Fail,Total,AvgScore
Pittsfield,Pittsfield - Taconic High,PHY,1,7,20,9,37,484
Plymouth,Plymouth - Plymouth North High,BIO,5,74,151,66,296,487
Plymouth,Plymouth - Plymouth South High,BIO,4,63,147,30,244,489
Quincy,Quincy - North Quincy High,BIO,70,161,80,17,328,511
Quincy,Quincy - Quincy High,BIO,41,128,129,49,347,499
Randolph,Randolph - Randolph High,BIO,4,17,13,10,44,495
Randolph,Randolph - Randolph High,PHY,0,17,53,47,117,475
Reading,Reading - Reading Memorial High,BIO,55,109,76,11,251,511
Revere,Revere - CityLab Innovation High School,BIO,1,10,12,9,32,484
Revere,Revere - Revere High,BIO,30,141,159,82,412,495
Rockland,Rockland - Rockland Senior High,BIO,22,69,45,14,150,505
Rockport,Rockport - Rockport High,BIO,6,24,18,5,53,502
Salem,Salem - Salem High,BIO,26,58,79,54,217,494
Sandwich,Sandwich - Sandwich Middle High School,BIO,18,63,34,8,123,507
Saugus,Saugus - Saugus High,BIO,8,57,75,34,174,491
Scituate,Scituate - Scituate High School,BIO,28,81,42,9,160,510
Seekonk,Seekonk - Seekonk High,BIO,5,74,46,9,134,501
Sharon,Sharon - Sharon High,PHY,104,115,59,5,283,521
Shrewsbury,Shrewsbury - Shrewsbury High School,BIO,99,85,4,7,195,530
Shrewsbury,Shrewsbury - Shrewsbury High School,PHY,17,147,119,5,288,503
Somerville,Somerville - Somerville High,BIO,30,98,104,78,310,494
South Hadley,South Hadley - South Hadley High,BIO,12,48,31,6,97,504
Southbridge,Southbridge - Southbridge High School,BIO,0,8,35,28,71,477
Southbridge,Southbridge - Southbridge High School,PHY,0,0,5,34,39,459
Springfield,Springfield - Conservatory of the Arts,BIO,1,7,24,14,46,484
Springfield,Springfield - High School Of Commerce,BIO,5,29,53,63,150,481
Springfield,Springfield - High School Of Commerce,PHY,1,10,12,2,25,498
Springfield,Springfield - John J Duggan Academy,BIO,1,14,29,30,74,479
Springfield,Springfield - Roger L. Putnam Vocational Technical Academy,BIO,0,0,6,5,11,470
Springfield,Springfield - Roger L. Putnam Vocational Technical Academy,PHY,4,59,205,86,354,484
Springfield,Springfield - Springfield Central High,BIO,8,56,224,160,448,479
Springfield,Springfield - Springfield High School of Science and Technology,BIO,0,31,131,104,266,476
Springfield,Springfield - Springfield International Academy at Sci-Tech,BIO,0,1,9,10,20,469
Springfield,Springfield - The Springfield Renaissance School an Expeditionary Learning School,BIO,5,16,35,24,80,488
Springfield,Springfield - The Springfield Virtual School,BIO,1,0,10,13,24,473
Stoneham,Stoneham - Stoneham High,BIO,18,59,52,6,135,505
Stoughton,Stoughton - Stoughton High,BIO,16,118,78,30,242,501
Sutton,Sutton - Sutton High School,PHY,18,45,22,1,86,513
Swampscott,Swampscott - Swampscott High,BIO,38,83,33,8,162,514
Swansea,Swansea - Joseph Case High,PHY,20,43,54,11,128,503
Taunton,Taunton - Taunton High,BIO,26,159,189,108,482,491
Tewksbury,Tewksbury - Tewksbury Memorial High,BIO,11,77,76,12,176,500
Tyngsborough,Tyngsborough - Tyngsborough High School,BIO,18,63,29,4,114,509
Uxbridge,Uxbridge - Uxbridge High,PHY,10,36,37,7,90,502
Wakefield,Wakefield - Wakefield Memorial High,BIO,21,121,59,11,212,507
Walpole,Walpole - Walpole High,PHY,49,120,48,9,226,513
Waltham,Waltham - Waltham Sr High,PHY,24,123,157,95,399,490
Ware,Ware - Ware Junior/Senior High School,BIO,0,8,12,3,23,491
Wareham,Wareham - Wareham Senior High,BIO,0,25,64,26,115,485
Watertown,Watertown - Watertown High,BIO,0,0,7,10,17,465
Watertown,Watertown - Watertown High,PHY,22,58,67,12,159,502
Wayland,Wayland - Wayland High School,BIO,65,103,30,1,199,521
Webster,Webster - Bartlett High School,BIO,0,9,36,28,73,479
Wellesley,Wellesley - Wellesley Sr High,PHY,120,177,51,1,349,522
West Boylston,West Boylston - West Boylston Junior/Senior High,PHY,7,30,23,2,62,504
West Bridgewater,West Bridgewater - West Bridgewater Junior/Senior,BIO,0,30,59,18,107,488
West Springfield,West Springfield - West Springfield High,BIO,37,111,97,23,268,503
Westborough,Westborough - Westborough High,BIO,102,145,41,6,294,521
Westfield,Westfield - Westfield High,BIO,6,72,103,50,231,489
Westfield,Westfield - Westfield Technical Academy,PHY,3,30,82,21,136,488
Westford,Westford - Westford Academy,BIO,116,185,38,7,346,522
Weston,Weston - Weston High,PHY,50,75,30,0,155,520
Westport,Westport - Westport Middle-High School,BIO,4,30,27,5,66,499
Westwood,Westwood - Westwood High,BIO,53,97,38,11,199,515
Weymouth,Weymouth - Weymouth High School,BIO,64,148,163,46,421,502
Whitman,Whitman-Hanson - Whitman Hanson Regional,BIO,15,113,91,19,238,500
Hanson,Whitman-Hanson - Whitman Hanson Regional,BIO,15,113,91,19,238,500
Wilmington,Wilmington - Wilmington High,BIO,16,95,36,9,156,508
Winchendon,Winchendon - Murdock High School,BIO,1,29,34,8,72,494
Winchester,Winchester - Winchester High School,BIO,98,193,53,10,354,518
Winthrop,Winthrop - Winthrop High School,BIO,10,65,52,14,141,500
Woburn,Woburn - Woburn High,BIO,58,144,174,41,417,500
Worcester,Worcester - Burncoat Senior High,BIO,11,50,69,61,191,488
Worcester,Worcester - Burncoat Senior High,PHY,1,5,23,26,55,473
Worcester,Worcester - Claremont Academy,BIO,0,9,20,27,56,476
Worcester,Worcester - Doherty Memorial High,BIO,18,94,138,68,318,491
Worcester,Worcester - North High,BIO,2,24,97,147,270,474
Worcester,Worcester - South High Community,BIO,21,82,141,131,375,486
Worcester,Worcester - University Pk Campus School,BIO,1,11,16,7,35,494
Worcester,Worcester - Worcester Technical High,BIO,7,95,174,85,361,487
